customer_id,tenure_months,support_tickets,plan_tier,churned
1,1,188.03,D,0
2,41,122.23,B,0
3,35,205.06,D,0
4,4,292.16,A,0
5,54,385.79,D,1
6,14,480.15,B,1
7,16,437.97,A,1
8,11,396.01,A,1
9,20,451.32,D,1
10,11,351.06,C,1
11,21,473.29,D,1
12,48,261.64,A,0
13,27,54.63,C,0
14,55,367.47,B,1
15,27,474.75,C,1
16,17,25.21,B,0
17,47,314.83,D,1
18,49,159.34,B,0
19,51,208.05,D,0
20,53,459.87,D,1
21,2,173.85,D,0
22,31,316.65,D,1
23,16,217.47,D,0
24,15,464.15,D,1
25,15,190.65,C,0
26,49,58.7,D,0
27,47,215.31,B,0
28,13,208.51,A,0
29,25,443.84,B,1
30,44,172.39,A,0
31,9,154.06,C,0
32,38,209.45,B,0
33,26,348.59,C,1
34,55,216.93,A,0
35,44,265.81,D,0
36,14,358.01,A,1
37,50,23.13,B,0
38,48,75.25,D,0
39,13,365.31,A,1
40,31,454.52,A,1
41,47,434.84,A,1
42,14,356.53,B,1
43,15,491.11,A,1
44,10,427.92,A,1
45,1,349.94,C,1
46,30,323.66,C,1
47,1,428.03,D,1
48,35,441.28,B,1
49,25,144.28,A,0
50,11,428.47,A,1
51,22,298.22,C,1
52,1,10.09,B,0
53,9,106.58,A,0
54,28,392.0,A,1
55,5,177.67,B,0
56,43,423.1,D,1
57,16,305.31,D,1
58,55,493.46,B,1
59,11,384.29,B,1
60,37,55.59,A,0
61,31,420.52,D,1
62,55,335.32,D,1
63,37,117.86,B,0
64,52,263.23,C,0
65,28,88.57,C,0
66,13,192.79,C,0
67,12,374.95,A,1
68,52,232.15,B,0
69,12,334.11,B,1
70,44,450.68,C,1
71,32,353.75,C,1
72,17,55.11,B,0
73,25,212.11,A,0
74,48,164.91,C,0
75,27,244.44,C,0
76,52,449.46,A,1
77,56,178.02,D,0
78,18,373.3,B,1
79,32,239.46,D,0
80,32,420.48,A,1
81,33,125.49,C,0
82,5,266.49,D,0
83,22,319.59,B,1
84,35,194.58,B,0
85,55,286.12,D,1
86,15,155.4,C,0
87,39,493.84,C,1
88,46,346.76,C,1
89,55,318.44,D,1
90,11,467.93,D,1
91,40,225.93,B,0
92,19,490.82,C,1
93,26,54.11,D,0
94,1,494.22,D,1
95,43,362.65,C,1
96,2,294.17,D,0
97,23,184.68,C,0
98,30,109.51,D,0
99,40,491.45,C,1
100,28,125.26,C,0
101,50,441.25,C,1
102,8,37.95,B,0
103,16,402.62,A,1
104,16,436.1,A,1
105,23,130.01,D,0
106,1,488.71,C,1
107,26,192.2,C,0
108,23,87.59,A,0
109,35,215.55,D,0
110,34,486.44,C,1
111,17,65.61,C,0
112,26,349.56,B,1
113,30,76.69,C,0
114,50,345.8,A,1
115,5,85.57,C,0
116,37,472.44,D,1
117,5,457.72,B,1
118,16,492.36,B,1
119,27,440.42,A,1
120,48,199.1,A,0
121,20,238.24,C,0
122,30,163.81,B,0
123,35,251.16,C,0
124,45,126.57,B,0
125,24,480.43,B,1
126,34,214.75,C,0
127,50,174.65,C,0
128,26,468.28,D,1
129,56,180.29,C,0
130,24,216.53,B,0
131,26,317.68,B,1
132,2,367.97,D,1
133,32,218.58,A,0
134,28,118.91,D,0
135,25,314.73,D,1
136,37,93.37,B,0
137,33,313.25,D,1
138,56,324.86,C,1
139,24,323.06,C,1
140,26,182.47,C,0
141,48,204.2,C,0
142,29,139.86,A,0
143,15,396.79,D,1
144,31,360.96,D,1
145,30,348.8,D,1
146,25,485.94,A,1
147,32,444.54,A,1
148,35,220.29,A,0
149,58,381.37,D,1
150,5,325.58,C,1
151,54,273.14,D,1
152,29,78.62,B,0
153,23,251.89,D,0
154,36,116.31,C,0
155,7,406.14,C,1
156,44,372.25,B,1
157,6,97.75,C,0
158,26,54.26,D,0
159,12,63.21,D,0
160,18,393.96,B,1
161,28,471.34,B,1
162,1,151.97,A,0
163,53,63.53,D,0
164,45,356.78,B,1
165,57,266.07,D,1
166,5,306.78,A,0
167,11,255.89,D,0
168,29,406.77,D,1
169,51,296.6,D,1
170,18,403.08,D,1
171,18,332.3,D,1
172,50,345.63,A,1
173,1,370.92,A,1
174,57,293.31,A,1
175,12,186.28,C,0
176,19,204.17,C,0
177,20,20.94,C,0
178,53,28.22,D,0
179,49,237.76,D,0
180,20,402.97,B,1
181,21,356.54,D,1
182,48,198.6,D,0
183,17,244.97,B,0
184,48,420.68,B,1
185,49,395.97,A,1
186,39,309.01,C,1
187,44,426.04,B,1
188,14,489.81,A,1
189,34,315.25,C,1
190,9,485.24,C,1
191,4,48.22,D,0
192,26,390.17,A,1
193,18,57.09,D,0
194,9,118.63,A,0
195,32,176.19,C,0
196,52,67.18,B,0
197,15,360.82,D,1
198,11,181.22,C,0
199,52,92.63,B,0
200,2,115.22,D,0
201,35,22.14,D,0
202,33,480.66,B,1
203,28,476.08,D,1
204,26,134.68,C,0
205,2,352.64,C,1
206,51,32.75,C,0
207,4,181.29,A,0
208,10,341.37,A,1
209,52,121.56,C,0
210,22,176.18,C,0
211,28,74.26,C,0
212,38,84.15,C,0
213,34,13.04,C,0
214,55,175.93,A,0
215,56,218.61,D,0
216,16,217.07,B,0
217,46,149.61,C,0
218,41,270.55,B,0
219,15,22.44,C,0
220,9,208.83,C,0
221,49,310.32,A,1
222,44,384.4,B,1
223,23,496.44,D,1
224,18,225.29,B,0
225,41,470.69,A,1
226,15,459.02,A,1
227,28,78.2,A,0
228,14,255.41,A,0
229,37,119.9,A,0
230,22,398.61,C,1
231,40,370.23,C,1
232,20,486.99,B,1
233,37,39.07,D,0
234,37,222.19,C,0
235,27,188.62,D,0
236,33,331.28,B,1
237,11,270.1,D,0
238,45,289.39,C,1
239,43,79.6,D,0
240,18,471.15,C,1
241,25,169.24,D,0
242,57,202.68,B,0
243,8,122.01,B,0
244,33,158.65,D,0
245,32,195.58,A,0
246,41,137.7,A,0
247,27,232.21,D,0
248,41,418.21,A,1
249,7,423.4,B,1
250,9,310.04,C,1
251,32,280.83,D,0
252,9,305.12,A,0
253,2,257.08,A,0
254,28,44.79,B,0
255,42,59.98,A,0
256,31,244.55,A,0
257,52,46.18,A,0
258,17,73.56,D,0
259,27,316.63,C,1
260,11,473.34,B,1
261,16,27.03,C,0
262,30,305.13,B,1
263,36,231.72,B,0
264,39,29.36,D,0
265,16,392.38,A,1
266,14,355.29,B,1
267,25,467.83,B,1
268,13,335.33,D,1
269,14,360.6,A,1
270,57,186.45,C,0
271,20,293.76,C,0
272,43,314.03,D,1
273,19,67.09,C,0
274,3,107.62,B,0
275,3,125.68,B,0
276,58,308.84,C,1
277,22,276.01,C,0
278,1,168.15,A,0
279,23,397.0,C,1
280,16,348.99,C,1
281,40,78.26,C,0
282,55,397.0,A,1
283,53,161.68,C,0
284,5,238.4,C,0
285,1,99.06,A,0
286,51,207.61,D,0
287,11,122.51,B,0
288,9,369.35,D,1
289,56,298.24,D,1
290,11,441.91,C,1
291,51,87.45,D,0
292,47,291.6,D,1
293,12,241.32,B,0
294,53,243.32,A,0
295,37,380.17,B,1
296,28,213.19,B,0
297,29,350.68,A,1
298,3,146.57,C,0
299,52,72.27,A,0
300,19,398.5,A,1
301,17,267.67,B,0
302,1,131.4,B,0
303,16,231.38,D,0
304,21,320.0,A,1
305,3,131.0,A,0
306,39,98.51,B,0
307,9,495.38,B,1
308,16,100.37,A,0
309,29,173.79,B,0
310,39,205.19,A,0
311,11,431.97,A,1
312,55,146.33,C,0
313,31,118.59,A,0
314,28,72.07,D,0
315,45,382.69,A,1
316,13,286.94,C,0
317,17,56.2,B,0
318,55,232.92,D,0
319,42,494.34,A,1
320,56,462.31,B,1
321,38,285.57,B,1
322,8,125.24,C,0
323,45,298.6,A,1
324,54,261.23,B,0
325,8,485.29,B,1
326,18,17.37,C,0
327,47,162.56,B,0
328,8,207.54,A,0
329,58,367.85,A,1
330,7,377.1,D,1
331,2,369.76,D,1
332,45,288.75,B,1
333,1,280.32,D,0
334,6,152.22,B,0
335,40,435.74,B,1
336,46,219.17,D,0
337,53,185.19,C,0
338,15,399.61,B,1
339,49,365.12,C,1
340,25,166.09,D,0
341,46,21.61,C,0
342,9,14.11,D,0
343,43,426.9,D,1
344,39,84.01,C,0
345,25,305.2,C,1
346,28,299.46,A,1
347,11,120.42,A,0
348,24,228.34,A,0
349,37,215.32,C,0
350,48,256.33,B,0
351,36,429.94,D,1
352,28,458.83,B,1
353,43,52.42,D,0
354,41,220.25,D,0
355,56,154.32,D,0
356,47,396.05,C,1
357,5,179.47,C,0
358,37,247.7,A,0
359,42,356.22,B,1
360,57,321.26,B,1
361,45,374.28,B,1
362,33,221.15,A,0
363,3,275.25,A,0
364,13,143.35,A,0
365,45,390.78,D,1
366,32,434.48,D,1
367,41,158.04,D,0
368,15,253.9,B,0
369,47,61.26,B,0
370,5,64.75,A,0
371,58,80.87,B,0
372,45,318.65,C,1
373,41,395.27,C,1
374,16,73.3,A,0
375,48,498.74,A,1
376,19,183.39,D,0
377,50,447.74,A,1
378,59,499.81,C,1
379,51,422.12,C,1
380,24,196.37,C,0
381,54,21.84,C,0
382,27,258.91,C,0
383,49,249.09,B,0
384,55,11.72,B,0
385,23,435.64,D,1
386,47,81.63,A,0
387,59,317.23,A,1
388,51,138.63,B,0
389,13,213.0,C,0
390,28,240.24,A,0
391,27,297.96,B,1
392,13,264.56,D,0
393,13,188.58,A,0
394,4,29.83,B,0
395,41,72.04,B,0
396,5,315.76,C,1
397,8,306.95,A,0
398,9,337.45,D,1
399,31,49.38,D,0
400,16,132.4,B,0
401,27,125.09,C,0
402,46,409.17,D,1
403,22,382.3,B,1
404,14,378.3,A,1
405,5,486.23,C,1
406,25,458.77,C,1
407,49,325.6,D,1
408,28,259.33,D,0
409,16,410.65,A,1
410,19,279.33,C,0
411,2,386.13,C,1
412,11,98.28,C,0
413,7,261.37,C,0
414,16,246.97,C,0
415,56,247.48,B,0
416,51,264.56,A,1
417,45,310.86,D,1
418,59,306.65,A,1
419,19,476.77,C,1
420,22,117.58,A,0
421,3,80.52,B,0
422,28,367.42,B,1
423,31,129.31,C,0
424,20,147.45,B,0
425,40,97.92,C,0
426,22,243.99,A,0
427,27,210.65,C,0
428,41,487.83,C,1
429,41,340.84,D,1
430,44,296.59,A,1
431,41,292.9,B,1
432,19,149.65,A,0
433,14,444.72,D,1
434,9,67.01,C,0
435,20,370.42,D,1
436,42,70.77,B,0
437,50,254.21,A,0
438,26,116.03,D,0
439,5,281.37,C,0
440,55,106.17,A,0
441,49,256.41,A,0
442,25,25.24,B,0
443,37,130.92,D,0
444,2,370.34,C,1
445,25,264.65,B,0
446,43,252.62,C,0
447,44,321.88,B,1
448,59,267.37,B,1
449,30,138.9,D,0
450,28,446.09,D,1
451,32,163.45,D,0
452,57,18.93,B,0
453,8,102.86,D,0
454,10,210.44,C,0
455,48,14.78,A,0
456,13,277.4,A,0
457,38,477.11,B,1
458,21,284.26,A,0
459,45,111.46,B,0
460,24,41.45,A,0
461,10,274.88,A,0
462,54,345.87,A,1
463,1,324.36,A,1
464,58,288.07,A,1
465,3,190.27,C,0
466,31,200.3,D,0
467,54,432.57,C,1
468,42,33.69,A,0
469,14,156.42,D,0
470,38,150.75,B,0
471,13,490.88,B,1
472,51,255.87,D,0
473,5,98.8,B,0
474,7,425.5,B,1
475,42,193.14,B,0
476,34,198.67,A,0
477,44,175.21,C,0
478,48,83.63,D,0
479,5,228.85,B,0
480,46,279.11,A,1
481,23,231.89,A,0
482,46,196.84,D,0
483,13,122.55,C,0
484,58,430.76,D,1
485,29,432.89,A,1
486,2,285.73,A,0
487,43,357.98,C,1
488,7,456.38,B,1
489,36,88.62,C,0
490,10,72.4,C,0
491,13,107.19,B,0
492,35,299.77,B,1
493,35,45.94,A,0
494,26,369.58,A,1
495,17,34.45,D,0
496,4,22.57,B,0
497,20,483.48,A,1
498,17,183.1,A,0
499,59,284.1,C,1
500,24,246.63,A,0
501,32,327.13,D,1
502,30,471.66,C,1
503,55,282.98,C,1
504,45,168.1,D,0
505,33,29.84,A,0
506,29,325.98,A,1
507,53,216.05,A,0
508,49,478.13,A,1
509,41,296.75,C,1
510,32,320.68,B,1
511,7,324.28,C,1
512,22,276.07,D,0
513,42,200.12,C,0
514,48,235.9,A,0
515,40,344.61,A,1
516,11,127.03,C,0
517,13,99.44,A,0
518,53,450.64,B,1
519,21,344.58,C,1
520,40,436.94,B,1
521,12,189.99,D,0
522,57,292.17,A,1
523,17,306.11,D,1
524,13,448.36,D,1
525,16,439.94,B,1
526,14,137.53,B,0
527,6,484.6,B,1
528,27,192.39,A,0
529,34,308.74,B,1
530,9,496.68,C,1
531,28,209.52,A,0
532,3,324.52,B,1
533,33,494.27,B,1
534,21,318.35,D,1
535,40,332.23,D,1
536,45,396.2,A,1
537,10,396.08,A,1
538,53,474.53,B,1
