project_id,program,start_date,end_date,planned_duration_days,actual_duration_days,planned_budget,actual_cost,team_size,stakeholder_satisfaction,success
PRJ0001,Program C,2019-02-27,2019-07-25,138,148,161195,234719,3,2.7,0
PRJ0002,Program D,2022-03-07,2022-08-04,145,150,415225,501798,19,2.0,0
PRJ0003,Program A,2020-07-27,2020-12-07,123,133,86668,88887,13,4.8,0
PRJ0004,Program C,2021-07-17,2021-10-01,76,76,335205,325440,20,8.2,1
PRJ0005,Program C,2023-07-15,2023-12-16,128,154,391396,424325,19,7.7,0
PRJ0006,Program D,2020-03-30,2020-07-17,84,109,89749,147193,9,1.5,0
PRJ0007,Program A,2021-01-18,2021-05-03,81,105,180560,179127,19,5.1,0
PRJ0008,Program A,2022-10-10,2023-04-09,173,181,416824,508658,11,5.7,0
PRJ0009,Program C,2020-02-22,2020-04-13,42,51,197979,258771,19,6.8,0
PRJ0010,Program B,2019-05-21,2019-10-18,143,150,199849,255290,10,6.9,0
PRJ0011,Program C,2020-06-12,2020-12-18,153,189,274301,348856,19,4.3,0
PRJ0012,Program C,2019-10-22,2020-04-04,135,165,101745,165443,9,6.0,0
PRJ0013,Program C,2023-08-24,2024-03-25,176,214,420608,416023,3,5.3,0
PRJ0014,Program C,2023-01-14,2023-07-10,174,177,141865,168024,15,9.0,0
PRJ0015,Program D,2022-03-01,2022-08-01,149,153,424572,458497,19,5.8,0
PRJ0016,Program A,2023-05-10,2023-08-30,92,112,262890,258841,15,5.0,0
PRJ0017,Program D,2023-01-06,2023-02-13,48,38,73624,151012,18,4.6,0
PRJ0018,Program D,2019-12-07,2020-03-29,121,113,73321,71328,10,6.2,1
PRJ0019,Program D,2023-06-17,2023-09-17,87,92,453704,485536,20,8.2,0
PRJ0020,Program C,2021-09-11,2022-01-20,119,131,334718,383314,3,5.8,0
PRJ0021,Program B,2023-01-13,2023-06-08,146,146,448456,468979,16,7.0,0
PRJ0022,Program A,2023-06-24,2023-09-24,91,92,224293,303154,17,7.6,0
PRJ0023,Program B,2020-08-03,2020-09-23,52,51,453694,530434,20,5.7,0
PRJ0024,Program D,2019-07-20,2020-01-13,156,177,309127,314651,4,4.8,0
PRJ0025,Program D,2020-02-20,2020-08-09,166,171,236717,245999,19,8.9,0
PRJ0026,Program B,2021-02-18,2021-08-03,169,166,462478,476408,20,4.8,0
PRJ0027,Program B,2023-02-01,2023-08-05,158,185,430975,421052,8,5.2,0
PRJ0028,Program B,2023-04-20,2023-07-17,87,88,233868,329749,6,9.9,0
PRJ0029,Program D,2019-01-13,2019-06-26,151,164,185504,196115,3,1.0,0
